record_id,site_name,material,quantity_tons,grade_percent,extraction_date,operator,status,depth_meter,cost_usd
1954,Tambang D,Emas,697.41,4.58,2022-10-21 00:20:15.481570,PT Tambang Jaya,Aktif,145.9,93527.56
1955,Tambang C,Nikel,833.9,3.12,2021-11-02 23:33:09.575077,PT Tambang Jaya,Aktif,165.6,48332.66
1956,Tambang A,Batubara,847.89,1.27,2020-07-09 03:54:38.761931,PT Emas Sejahtera,Aktif,191.4,44612.19
1957,Tambang B,Tembaga,681.68,4.61,2020-08-11 21:10:52.099847,PT Emas Sejahtera,Reklamasi,249.9,49389.45
1958,Tambang C,Emas,954.48,3.57,2021-05-03 05:55:30.261336,PT Mineral Nusantara,Reklamasi,83.4,7651.03
1959,Tambang A,Nikel,515.89,3.65,2021-08-21 00:12:44.546897,PT Mineral Nusantara,Aktif,27.7,24461.17
1960,Tambang C,Emas,914.68,4.93,2021-05-01 17:01:50.580886,PT Emas Sejahtera,Aktif,36.1,94120.47
1961,Tambang B,Batubara,968.13,0.84,2021-06-29 01:37:25.495869,PT Tambang Jaya,Reklamasi,154.2,35162.37
1962,Tambang A,Batubara,848.69,2.43,2021-07-16 16:27:02.732527,PT Mineral Nusantara,Aktif,277.4,59544.42
1963,Tambang B,Nikel,316.66,1.58,2024-03-30 23:15:16.091439,PT Emas Sejahtera,Non-Aktif,294.8,65265.03
1964,Tambang B,Emas,204.25,3.34,2023-04-22 16:47:57.538305,PT Tambang Jaya,Non-Aktif,69.5,87838.45
1965,Tambang A,Tembaga,552.64,4.13,2020-09-28 05:45:31.630523,PT Mineral Nusantara,Non-Aktif,54.1,24579.66
1966,Tambang A,Tembaga,458.48,4.85,2020-03-25 09:24:28.968715,PT Emas Sejahtera,Reklamasi,112.5,89122.88
1967,Tambang A,Emas,878.98,2.55,2024-03-20 01:34:46.168602,PT Emas Sejahtera,Aktif,144.5,39773.95
1968,Tambang D,Emas,109.03,4.04,2021-05-07 12:29:14.104361,PT Tambang Jaya,Non-Aktif,244.3,92255.93
1969,Tambang A,Emas,265.16,4.63,2024-08-15 09:49:50.671360,PT Tambang Jaya,Reklamasi,234.6,41720.48
1970,Tambang A,Nikel,754.28,3.57,2023-08-30 05:27:44.087039,PT Emas Sejahtera,Aktif,277.6,11292.04
1971,Tambang A,Batubara,104.04,1.59,2022-10-19 08:42:19.480528,PT Tambang Jaya,Aktif,258.8,6160.17
1972,Tambang A,Tembaga,327.56,3.24,2021-11-09 06:41:08.573490,PT Emas Sejahtera,Non-Aktif,137.2,96761.51
1973,Tambang C,Nikel,393.28,4.86,2020-11-21 16:58:14.739363,PT Tambang Jaya,Aktif,15.5,13012.28
1974,Tambang D,Emas,626.37,4.94,2020-11-25 02:52:13.439337,PT Tambang Jaya,Aktif,78.6,54577.97
1975,Tambang B,Emas,166.55,3.39,2022-03-23 05:03:25.516934,PT Mineral Nusantara,Non-Aktif,186.9,53170.97
1976,Tambang A,Batubara,862.0,4.49,2021-01-09 17:13:19.269249,PT Mineral Nusantara,Non-Aktif,155.4,40734.37
1977,Tambang C,Emas,453.07,1.4,2020-03-19 15:13:51.957858,PT Tambang Jaya,Aktif,79.6,42385.06
1978,Tambang C,Nikel,917.85,1.61,2022-10-25 06:28:39.829190,PT Emas Sejahtera,Reklamasi,48.2,48095.9
1979,Tambang C,Nikel,473.19,4.79,2020-04-13 20:04:00.940346,PT Tambang Jaya,Reklamasi,72.6,10853.89
1980,Tambang B,Batubara,282.29,1.11,2024-10-26 17:13:29.007179,PT Mineral Nusantara,Non-Aktif,85.3,79299.78
1981,Tambang A,Nikel,150.41,1.36,2020-09-16 07:30:44.206448,PT Emas Sejahtera,Aktif,261.5,38329.32
1982,Tambang D,Tembaga,13.71,2.39,2024-09-06 22:42:31.179476,PT Tambang Jaya,Non-Aktif,216.0,25209.42
1983,Tambang D,Nikel,536.84,3.15,2022-09-19 10:11:47.484164,PT Tambang Jaya,Reklamasi,170.2,32508.46
1984,Tambang C,Nikel,116.09,3.22,2024-09-14 01:38:05.370834,PT Tambang Jaya,Reklamasi,16.1,61575.11
1985,Tambang B,Nikel,397.81,1.81,2022-05-07 14:00:23.544704,PT Tambang Jaya,Aktif,248.1,77735.4
1986,Tambang B,Tembaga,593.38,4.64,2022-08-28 17:32:28.063928,PT Mineral Nusantara,Non-Aktif,170.2,16188.55
1987,Tambang B,Emas,282.93,4.62,2023-10-02 11:56:06.337670,PT Mineral Nusantara,Non-Aktif,191.9,59664.31
1988,Tambang D,Nikel,183.47,2.26,2023-02-09 20:23:49.686893,PT Mineral Nusantara,Reklamasi,29.0,42818.82
1989,Tambang C,Batubara,776.97,2.45,2020-09-13 20:04:53.271917,PT Mineral Nusantara,Non-Aktif,246.3,86335.24
1990,Tambang A,Tembaga,947.32,3.66,2023-09-30 21:54:15.010237,PT Emas Sejahtera,Non-Aktif,251.3,94980.61
1991,Tambang D,Batubara,109.44,3.48,2024-05-28 15:54:34.316126,PT Emas Sejahtera,Non-Aktif,266.2,68175.7
1992,Tambang C,Nikel,164.03,2.22,2021-04-06 05:07:37.861211,PT Emas Sejahtera,Aktif,163.1,59390.71
1993,Tambang C,Batubara,960.41,2.36,2020-03-31 10:42:42.077741,PT Tambang Jaya,Reklamasi,124.3,78255.19
1994,Tambang A,Nikel,47.41,2.07,2023-03-07 21:02:01.945755,PT Emas Sejahtera,Non-Aktif,31.2,50084.8
1995,Tambang A,Tembaga,977.86,1.56,2022-03-24 02:46:50.562206,PT Mineral Nusantara,Aktif,66.2,6481.86
1996,Tambang A,Batubara,14.6,2.56,2022-04-04 19:11:49.222597,PT Mineral Nusantara,Non-Aktif,75.4,70408.49
1997,Tambang B,Batubara,874.93,3.59,2024-06-20 01:50:12.705817,PT Tambang Jaya,Non-Aktif,28.2,58458.07
1998,Tambang A,Nikel,314.25,3.84,2022-10-15 10:41:04.650702,PT Emas Sejahtera,Reklamasi,54.8,15992.34
1999,Tambang C,Nikel,939.2,4.0,2022-02-19 01:51:39.207391,PT Tambang Jaya,Aktif,267.2,22083.73
2000,Tambang A,Emas,323.78,2.19,2024-11-17 20:02:02.793530,PT Tambang Jaya,Non-Aktif,168.2,23836.98
2001,Tambang C,Nikel,657.76,3.94,2020-11-19 12:42:12.518228,PT Emas Sejahtera,Reklamasi,231.7,73508.56
2002,Tambang D,Nikel,89.23,0.53,2022-03-23 03:20:04.568224,PT Tambang Jaya,Aktif,89.8,52318.83
2003,Tambang B,Emas,249.91,2.65,2022-11-10 16:22:00.161587,PT Emas Sejahtera,Non-Aktif,49.0,5741.54
2004,Tambang D,Nikel,775.94,4.07,2023-09-06 08:07:09.245836,PT Emas Sejahtera,Reklamasi,118.2,83958.54
2005,Tambang D,Nikel,533.4,3.34,2024-01-05 06:10:25.233895,PT Tambang Jaya,Non-Aktif,240.0,64851.68
2006,Tambang C,Emas,928.69,2.63,2024-08-30 10:21:35.914347,PT Mineral Nusantara,Non-Aktif,96.2,73581.87
2007,Tambang D,Tembaga,434.46,3.4,2021-02-27 14:02:32.183191,PT Emas Sejahtera,Aktif,69.3,93806.24
2008,Tambang C,Tembaga,871.11,4.58,2023-06-13 07:03:56.894262,PT Mineral Nusantara,Reklamasi,16.5,26756.6
2009,Tambang A,Nikel,454.47,3.05,2022-07-10 14:26:40.234509,PT Mineral Nusantara,Aktif,191.0,59371.23
2010,Tambang A,Nikel,979.46,4.1,2021-06-24 17:29:18.727287,PT Emas Sejahtera,Non-Aktif,136.4,76254.7
2011,Tambang C,Emas,960.24,4.91,2024-10-25 00:03:06.939478,PT Mineral Nusantara,Reklamasi,85.0,51766.38
2012,Tambang A,Emas,335.85,3.68,2024-10-27 06:58:01.881867,PT Tambang Jaya,Non-Aktif,160.7,49120.91
2013,Tambang B,Tembaga,887.06,3.08,2024-04-16 21:23:24.664769,PT Tambang Jaya,Non-Aktif,213.2,92943.69
2014,Tambang D,Batubara,849.14,0.67,2022-04-04 09:16:26.711941,PT Mineral Nusantara,Non-Aktif,81.8,25116.71
2015,Tambang B,Nikel,218.57,2.19,2020-09-08 13:31:40.450941,PT Tambang Jaya,Reklamasi,186.5,65635.58
2016,Tambang D,Batubara,628.05,3.04,2024-10-09 05:06:51.647130,PT Emas Sejahtera,Non-Aktif,85.4,97058.54
2017,Tambang A,Batubara,81.96,4.09,2024-08-13 01:43:50.798346,PT Emas Sejahtera,Reklamasi,296.1,22778.73
2018,Tambang B,Emas,838.34,2.47,2024-12-30 01:07:58.712681,PT Mineral Nusantara,Non-Aktif,222.4,46778.77
2019,Tambang A,Nikel,182.8,4.82,2020-07-29 12:11:47.291673,PT Tambang Jaya,Aktif,184.8,97568.29
2020,Tambang D,Nikel,80.11,1.72,2022-02-14 08:36:10.432257,PT Mineral Nusantara,Reklamasi,60.0,4549.56
2021,Tambang C,Emas,406.22,3.85,2023-03-09 12:46:07.942998,PT Tambang Jaya,Non-Aktif,180.1,63355.6
2022,Tambang C,Batubara,581.15,2.39,2023-11-17 04:54:40.889591,PT Emas Sejahtera,Aktif,242.1,41049.6
2023,Tambang B,Emas,856.37,2.69,2020-07-07 17:23:27.525640,PT Tambang Jaya,Reklamasi,223.8,77338.12
2024,Tambang A,Tembaga,974.5,4.11,2024-01-08 10:18:09.279428,PT Tambang Jaya,Aktif,235.6,33000.83
2025,Tambang A,Nikel,445.1,1.83,2020-05-18 08:07:27.136020,PT Mineral Nusantara,Non-Aktif,102.2,37915.45
2026,Tambang B,Tembaga,69.84,0.94,2022-09-05 10:54:26.797431,PT Emas Sejahtera,Aktif,105.2,52048.05
2027,Tambang C,Emas,751.62,2.84,2024-02-05 19:21:51.264369,PT Tambang Jaya,Non-Aktif,166.3,35242.33
2028,Tambang D,Nikel,569.52,2.88,2020-12-28 04:28:57.044354,PT Emas Sejahtera,Non-Aktif,90.8,26697.86
2029,Tambang B,Tembaga,453.41,4.09,2021-06-09 06:41:24.917854,PT Tambang Jaya,Reklamasi,42.8,36178.04
2030,Tambang D,Tembaga,316.18,4.86,2022-03-17 23:35:54.100606,PT Emas Sejahtera,Non-Aktif,143.7,90887.15
2031,Tambang C,Batubara,507.37,0.75,2022-02-04 09:18:52.818387,PT Tambang Jaya,Non-Aktif,10.6,34924.86
2032,Tambang A,Nikel,345.29,3.16,2020-05-08 10:48:30.841078,PT Emas Sejahtera,Reklamasi,230.6,90043.8
2033,Tambang C,Tembaga,759.44,3.57,2024-06-26 09:33:19.972529,PT Tambang Jaya,Reklamasi,227.4,21296.95
2034,Tambang B,Tembaga,548.45,4.94,2020-10-21 22:16:19.355563,PT Emas Sejahtera,Non-Aktif,170.1,67545.9
2035,Tambang A,Batubara,878.08,4.74,2022-04-27 17:08:05.056108,PT Tambang Jaya,Non-Aktif,226.8,74751.28
2036,Tambang B,Tembaga,548.11,3.71,2023-05-28 01:53:57.440454,PT Tambang Jaya,Reklamasi,191.1,12025.22
2037,Tambang B,Tembaga,245.88,2.85,2021-07-22 03:06:01.026465,PT Emas Sejahtera,Reklamasi,212.3,54854.62
2038,Tambang C,Tembaga,852.58,1.23,2024-10-03 14:23:19.878318,PT Mineral Nusantara,Aktif,28.8,2295.57
2039,Tambang B,Batubara,561.65,2.23,2023-03-19 00:53:17.461110,PT Tambang Jaya,Aktif,265.6,92894.38
2040,Tambang C,Tembaga,214.77,3.13,2020-08-24 06:15:00.260657,PT Tambang Jaya,Aktif,196.7,52901.95
2041,Tambang A,Tembaga,627.27,3.76,2022-08-11 04:39:18.130288,PT Mineral Nusantara,Reklamasi,187.1,4639.83
2042,Tambang C,Nikel,364.14,3.36,2023-04-13 16:48:29.734580,PT Tambang Jaya,Reklamasi,122.3,68639.07
2043,Tambang A,Nikel,845.96,3.71,2024-12-20 01:54:57.905930,PT Emas Sejahtera,Reklamasi,18.2,88685.05
2044,Tambang C,Batubara,458.77,2.43,2021-10-11 12:07:13.420513,PT Mineral Nusantara,Aktif,271.4,74014.6
2045,Tambang D,Emas,729.18,3.77,2024-09-28 05:46:02.522928,PT Tambang Jaya,Non-Aktif,295.8,14240.42
2046,Tambang D,Nikel,104.58,1.15,2022-06-26 14:31:47.878346,PT Emas Sejahtera,Non-Aktif,244.3,54448.89
2047,Tambang B,Batubara,402.06,1.23,2023-05-12 20:43:33.036585,PT Emas Sejahtera,Non-Aktif,275.4,73576.76
2048,Tambang C,Tembaga,983.41,1.23,2022-09-06 02:07:26.632197,PT Mineral Nusantara,Reklamasi,45.1,80256.44
2049,Tambang C,Tembaga,810.38,4.51,2020-02-11 18:48:20.787271,PT Mineral Nusantara,Non-Aktif,47.3,2584.2
2050,Tambang A,Batubara,168.34,0.84,2023-02-01 20:05:56.010801,PT Mineral Nusantara,Non-Aktif,265.1,29090.21
2051,Tambang B,Tembaga,284.99,4.11,2023-07-08 07:39:30.763920,PT Emas Sejahtera,Reklamasi,26.7,88579.73
2052,Tambang C,Tembaga,336.52,1.55,2023-01-05 11:46:27.054661,PT Tambang Jaya,Reklamasi,37.0,26584.75
2053,Tambang B,Emas,653.86,2.61,2022-09-18 15:49:34.262478,PT Emas Sejahtera,Reklamasi,246.9,47780.68
2054,Tambang D,Tembaga,759.42,4.62,2024-07-13 09:11:53.164267,PT Emas Sejahtera,Reklamasi,171.5,69969.86
2055,Tambang C,Nikel,752.03,3.14,2021-01-11 21:13:06.003024,PT Mineral Nusantara,Reklamasi,123.6,98574.27
2056,Tambang C,Tembaga,514.78,1.45,2020-05-19 11:13:57.341536,PT Tambang Jaya,Aktif,170.5,43160.18
2057,Tambang B,Batubara,812.71,1.78,2024-05-09 08:02:10.655682,PT Emas Sejahtera,Reklamasi,264.8,50863.79
2058,Tambang C,Emas,442.71,4.64,2021-07-24 23:52:03.398880,PT Mineral Nusantara,Non-Aktif,229.6,56304.33
2059,Tambang B,Tembaga,132.64,2.42,2024-11-01 22:47:45.687907,PT Mineral Nusantara,Non-Aktif,210.6,24182.37
2060,Tambang C,Batubara,568.8,3.14,2024-11-15 10:11:33.741178,PT Tambang Jaya,Aktif,293.3,37499.16
2061,Tambang A,Nikel,952.78,2.57,2023-08-21 12:46:12.223946,PT Tambang Jaya,Reklamasi,161.2,44012.16
2062,Tambang B,Tembaga,795.06,2.2,2020-02-08 04:09:02.354414,PT Mineral Nusantara,Non-Aktif,11.8,2913.02
2063,Tambang C,Emas,582.91,1.5,2020-12-21 13:14:51.908175,PT Tambang Jaya,Non-Aktif,134.4,1753.84
2064,Tambang D,Tembaga,650.34,3.59,2022-04-21 08:24:39.244745,PT Tambang Jaya,Reklamasi,38.0,23206.55
2065,Tambang C,Batubara,931.26,3.73,2020-06-17 11:42:15.360691,PT Emas Sejahtera,Aktif,43.8,51710.12
2066,Tambang D,Emas,434.06,1.74,2024-07-02 08:45:21.467544,PT Tambang Jaya,Reklamasi,83.9,95613.47
2067,Tambang D,Tembaga,338.08,4.05,2023-04-22 07:18:54.614226,PT Mineral Nusantara,Reklamasi,120.6,97287.83
2068,Tambang A,Nikel,977.47,4.35,2022-04-09 14:36:59.955431,PT Tambang Jaya,Reklamasi,149.7,65071.27
2069,Tambang B,Emas,864.81,4.64,2021-07-16 06:40:35.681452,PT Emas Sejahtera,Reklamasi,59.2,82873.92
2070,Tambang C,Nikel,329.81,1.23,2022-10-11 10:46:48.558765,PT Tambang Jaya,Reklamasi,100.4,90169.24
2071,Tambang A,Batubara,469.14,1.87,2024-10-06 09:07:55.136011,PT Emas Sejahtera,Aktif,90.2,84074.66
2072,Tambang C,Tembaga,420.93,4.37,2022-11-17 22:29:28.786027,PT Tambang Jaya,Non-Aktif,115.9,54827.02
2073,Tambang D,Nikel,157.6,1.39,2022-02-10 10:53:37.964464,PT Tambang Jaya,Reklamasi,41.3,70713.19
2074,Tambang B,Batubara,958.24,0.52,2022-11-20 12:06:10.630251,PT Mineral Nusantara,Non-Aktif,125.2,1360.48
2075,Tambang C,Tembaga,410.27,4.42,2024-06-11 14:31:43.411581,PT Mineral Nusantara,Non-Aktif,170.8,65159.04
2076,Tambang C,Batubara,876.58,1.97,2024-01-15 15:12:15.738555,PT Tambang Jaya,Reklamasi,38.1,43160.51
2077,Tambang D,Nikel,197.46,2.37,2022-06-23 04:16:47.073545,PT Tambang Jaya,Non-Aktif,161.0,64826.51
2078,Tambang C,Batubara,552.39,2.51,2024-10-09 17:12:10.838877,PT Emas Sejahtera,Reklamasi,229.2,69746.37
2079,Tambang C,Emas,33.72,4.32,2021-02-14 13:54:16.630737,PT Emas Sejahtera,Reklamasi,12.4,10691.69
2080,Tambang D,Tembaga,766.58,2.02,2020-01-20 10:06:04.591700,PT Mineral Nusantara,Reklamasi,23.8,87579.6
2081,Tambang A,Batubara,585.1,4.52,2021-06-03 15:50:19.551942,PT Tambang Jaya,Aktif,145.3,18397.45
2082,Tambang D,Nikel,629.33,3.28,2022-01-19 06:17:31.899419,PT Tambang Jaya,Reklamasi,263.1,2035.57
2083,Tambang A,Tembaga,61.2,2.87,2020-07-07 18:36:37.622026,PT Emas Sejahtera,Reklamasi,299.4,43541.0
2084,Tambang B,Emas,218.93,1.97,2021-04-19 09:41:23.295895,PT Tambang Jaya,Non-Aktif,37.1,9876.92
2085,Tambang A,Tembaga,83.59,1.6,2022-12-22 21:00:07.218317,PT Tambang Jaya,Aktif,15.3,95641.75
2086,Tambang A,Emas,296.03,3.31,2022-12-20 05:27:32.132933,PT Tambang Jaya,Non-Aktif,76.3,29097.4
2087,Tambang B,Tembaga,631.16,2.51,2023-08-05 11:21:36.737212,PT Emas Sejahtera,Non-Aktif,145.6,23136.36
2088,Tambang A,Batubara,570.52,4.6,2020-07-19 21:13:53.390778,PT Emas Sejahtera,Reklamasi,175.8,26936.98
2089,Tambang D,Batubara,616.03,2.71,2022-09-04 18:16:47.393372,PT Emas Sejahtera,Aktif,292.3,29052.26
2090,Tambang A,Nikel,553.76,2.8,2020-12-12 15:10:30.363215,PT Tambang Jaya,Aktif,267.7,7194.77
2091,Tambang B,Emas,280.3,2.38,2024-08-09 07:46:12.007051,PT Emas Sejahtera,Reklamasi,173.0,54460.65
2092,Tambang D,Nikel,252.06,4.05,2024-08-08 12:50:41.477323,PT Mineral Nusantara,Aktif,114.9,2782.52
2093,Tambang B,Batubara,145.69,2.41,2023-12-05 22:51:34.005217,PT Mineral Nusantara,Reklamasi,103.2,74930.26
2094,Tambang B,Emas,850.58,1.71,2023-09-10 20:41:59.857840,PT Emas Sejahtera,Aktif,176.1,77005.3
2095,Tambang C,Nikel,620.31,4.38,2024-02-16 20:44:57.576157,PT Emas Sejahtera,Aktif,219.2,40570.09
2096,Tambang C,Nikel,194.65,3.19,2020-09-27 03:37:41.791612,PT Tambang Jaya,Reklamasi,149.7,97111.08
2097,Tambang B,Nikel,185.44,3.16,2024-12-18 20:38:08.728539,PT Emas Sejahtera,Aktif,98.3,78397.56
2098,Tambang B,Nikel,874.31,3.25,2020-03-12 08:14:19.754293,PT Emas Sejahtera,Aktif,187.8,13183.49
2099,Tambang B,Nikel,745.3,3.73,2023-05-28 02:27:32.621014,PT Mineral Nusantara,Aktif,171.8,98004.98
2100,Tambang C,Emas,662.81,1.91,2020-01-08 20:37:55.469674,PT Mineral Nusantara,Non-Aktif,133.9,84667.09
2101,Tambang C,Nikel,412.8,0.65,2022-06-29 05:46:06.779383,PT Mineral Nusantara,Reklamasi,227.0,70695.07
2102,Tambang A,Emas,269.36,4.15,2022-04-20 06:07:40.011000,PT Mineral Nusantara,Non-Aktif,91.8,65691.48
2103,Tambang A,Nikel,979.66,1.08,2023-12-13 02:04:07.551616,PT Emas Sejahtera,Aktif,150.6,60870.25
2104,Tambang B,Batubara,799.27,3.75,2022-02-24 20:07:43.765306,PT Mineral Nusantara,Aktif,282.7,99032.37
2105,Tambang D,Batubara,308.76,0.87,2022-10-15 21:57:34.381233,PT Tambang Jaya,Non-Aktif,219.6,48370.75
2106,Tambang D,Nikel,849.09,2.19,2023-01-09 06:03:12.102277,PT Tambang Jaya,Aktif,122.5,17416.97
2107,Tambang C,Tembaga,761.34,0.78,2020-10-04 23:53:53.992495,PT Emas Sejahtera,Aktif,168.4,30151.41
2108,Tambang C,Batubara,304.11,2.85,2022-01-10 11:01:03.644717,PT Tambang Jaya,Reklamasi,127.6,38146.44
2109,Tambang C,Emas,432.29,3.44,2021-04-22 09:40:34.460090,PT Mineral Nusantara,Aktif,42.6,32326.62
2110,Tambang B,Nikel,194.09,1.27,2023-12-26 22:36:49.224761,PT Mineral Nusantara,Reklamasi,107.1,4004.87
2111,Tambang D,Emas,119.94,2.17,2021-04-15 00:40:01.169636,PT Tambang Jaya,Reklamasi,259.5,8298.99
2112,Tambang A,Tembaga,725.53,4.69,2020-06-02 17:47:57.767207,PT Emas Sejahtera,Non-Aktif,143.7,1487.9
2113,Tambang B,Nikel,274.84,2.49,2022-12-04 14:55:27.302854,PT Mineral Nusantara,Non-Aktif,179.5,68232.08
2114,Tambang A,Batubara,821.86,4.11,2024-04-22 23:40:02.472140,PT Mineral Nusantara,Aktif,62.6,66785.91
2115,Tambang A,Emas,995.65,4.67,2021-10-13 04:28:31.798504,PT Tambang Jaya,Non-Aktif,113.3,7744.78
2116,Tambang B,Batubara,85.85,4.88,2022-04-13 05:20:26.446388,PT Emas Sejahtera,Reklamasi,279.5,32203.26
2117,Tambang A,Batubara,478.3,4.54,2023-08-23 11:45:11.049055,PT Emas Sejahtera,Non-Aktif,101.1,29018.21
2118,Tambang D,Nikel,804.04,1.93,2023-01-11 11:34:25.824165,PT Tambang Jaya,Reklamasi,82.7,45906.86
2119,Tambang A,Emas,791.06,4.83,2020-07-05 04:14:38.535275,PT Mineral Nusantara,Non-Aktif,26.2,36510.98
2120,Tambang D,Tembaga,762.4,4.16,2021-11-19 07:06:20.977345,PT Tambang Jaya,Aktif,38.2,82230.69
2121,Tambang D,Batubara,355.5,4.27,2024-08-17 23:27:13.194213,PT Tambang Jaya,Non-Aktif,179.6,88385.36
2122,Tambang D,Nikel,459.31,0.57,2022-02-06 10:33:00.845656,PT Tambang Jaya,Aktif,201.4,21398.06
2123,Tambang C,Nikel,599.02,4.79,2023-05-17 02:28:21.794317,PT Mineral Nusantara,Non-Aktif,196.1,12978.8
2124,Tambang A,Tembaga,974.2,4.0,2024-10-02 15:12:04.636284,PT Mineral Nusantara,Reklamasi,166.6,84091.26
2125,Tambang B,Nikel,334.27,3.96,2021-11-21 13:35:02.881791,PT Tambang Jaya,Non-Aktif,152.4,50648.09
2126,Tambang B,Batubara,923.91,0.87,2024-01-16 02:38:38.103574,PT Emas Sejahtera,Non-Aktif,30.9,33112.97
2127,Tambang A,Nikel,276.66,1.55,2023-09-09 09:47:51.907308,PT Tambang Jaya,Reklamasi,253.8,6087.86
2128,Tambang C,Emas,989.18,4.83,2020-09-30 10:33:51.808643,PT Mineral Nusantara,Reklamasi,158.8,61006.35
2129,Tambang C,Emas,673.56,2.75,2023-04-05 06:41:09.189811,PT Emas Sejahtera,Non-Aktif,48.3,21564.86
2130,Tambang D,Batubara,468.88,2.29,2023-05-06 21:57:36.882764,PT Emas Sejahtera,Reklamasi,49.4,4730.99
2131,Tambang A,Emas,617.26,4.28,2020-03-21 01:07:39.977053,PT Mineral Nusantara,Reklamasi,158.8,45036.08
2132,Tambang A,Tembaga,279.81,0.89,2022-07-11 05:51:55.843160,PT Mineral Nusantara,Non-Aktif,80.9,60116.61
2133,Tambang B,Nikel,281.43,2.38,2022-11-30 08:24:08.805529,PT Tambang Jaya,Aktif,277.4,17966.32
2134,Tambang A,Batubara,122.42,2.19,2022-03-13 18:47:23.250418,PT Mineral Nusantara,Non-Aktif,154.7,65493.86
2135,Tambang C,Tembaga,122.91,2.07,2024-09-18 09:10:57.547221,PT Emas Sejahtera,Non-Aktif,293.7,19699.9
2136,Tambang A,Nikel,354.2,1.88,2022-08-02 21:36:13.285978,PT Tambang Jaya,Aktif,222.9,3053.25
2137,Tambang B,Tembaga,765.23,1.45,2023-11-01 01:07:31.072775,PT Tambang Jaya,Non-Aktif,245.1,15744.31
2138,Tambang D,Batubara,611.89,1.28,2021-06-17 22:10:43.823645,PT Emas Sejahtera,Non-Aktif,122.8,59112.5
2139,Tambang B,Batubara,111.56,3.38,2021-04-18 00:04:52.294825,PT Mineral Nusantara,Reklamasi,48.9,63895.64
2140,Tambang B,Tembaga,853.71,4.64,2024-08-28 14:11:40.152512,PT Tambang Jaya,Non-Aktif,210.0,86614.38
2141,Tambang D,Nikel,605.35,2.79,2024-03-11 17:34:43.606522,PT Emas Sejahtera,Aktif,128.1,7176.85
2142,Tambang B,Emas,961.25,1.84,2021-11-27 07:26:26.619751,PT Emas Sejahtera,Aktif,285.2,95342.81
2143,Tambang B,Emas,673.48,1.22,2022-04-05 01:12:57.118291,PT Emas Sejahtera,Reklamasi,66.2,52670.47
2144,Tambang A,Tembaga,183.42,4.24,2022-08-05 08:33:23.999279,PT Mineral Nusantara,Non-Aktif,191.7,25313.23
2145,Tambang A,Batubara,479.05,4.87,2022-05-01 05:25:10.121604,PT Mineral Nusantara,Non-Aktif,261.2,37176.1
2146,Tambang D,Nikel,652.01,2.07,2022-03-03 04:38:12.207528,PT Mineral Nusantara,Non-Aktif,126.8,6512.06
2147,Tambang A,Nikel,37.98,1.81,2023-09-09 10:34:31.354007,PT Mineral Nusantara,Non-Aktif,286.6,11899.07
2148,Tambang A,Batubara,24.76,3.21,2021-03-18 01:34:28.594830,PT Emas Sejahtera,Aktif,32.2,88357.74
2149,Tambang B,Emas,138.11,3.99,2022-10-24 20:07:23.502373,PT Tambang Jaya,Aktif,180.2,11484.9
2150,Tambang C,Nikel,259.15,2.55,2021-02-09 17:21:00.549076,PT Emas Sejahtera,Reklamasi,235.4,6528.12
2151,Tambang A,Tembaga,435.25,3.34,2021-01-29 21:19:12.609211,PT Tambang Jaya,Non-Aktif,68.5,60228.52
2152,Tambang C,Emas,492.57,3.72,2023-06-25 12:26:24.784240,PT Tambang Jaya,Aktif,26.8,38890.73
2153,Tambang A,Tembaga,146.65,4.82,2023-10-10 21:06:13.199789,PT Tambang Jaya,Non-Aktif,33.2,41187.0
2154,Tambang A,Emas,676.66,1.24,2024-11-07 21:08:49.471716,PT Mineral Nusantara,Aktif,102.6,12907.04
2155,Tambang D,Batubara,600.18,4.99,2022-05-01 11:35:48.005255,PT Emas Sejahtera,Aktif,74.7,5372.75
2156,Tambang D,Tembaga,301.52,2.26,2023-09-10 00:22:15.812769,PT Tambang Jaya,Reklamasi,74.9,86707.2
2157,Tambang D,Tembaga,23.52,3.75,2023-03-29 20:51:31.953310,PT Emas Sejahtera,Non-Aktif,143.0,39564.27
2158,Tambang C,Batubara,86.87,3.08,2020-02-16 04:10:32.708145,PT Mineral Nusantara,Reklamasi,34.6,11900.61
2159,Tambang B,Tembaga,397.78,2.69,2020-10-02 19:50:03.370757,PT Tambang Jaya,Reklamasi,298.7,20825.21
2160,Tambang A,Emas,162.43,3.64,2020-08-10 10:29:36.474500,PT Mineral Nusantara,Reklamasi,211.8,11188.02
2161,Tambang A,Nikel,383.05,2.28,2020-10-12 14:21:08.564325,PT Mineral Nusantara,Reklamasi,18.8,48331.05
2162,Tambang A,Nikel,631.9,1.07,2020-11-29 00:17:36.819201,PT Emas Sejahtera,Reklamasi,210.7,80546.97
2163,Tambang C,Batubara,551.77,2.7,2020-07-14 17:03:42.205038,PT Tambang Jaya,Reklamasi,239.6,39955.17
2164,Tambang D,Emas,238.86,2.85,2020-10-05 15:38:33.651266,PT Mineral Nusantara,Reklamasi,65.3,62369.69
2165,Tambang B,Tembaga,350.38,1.41,2024-10-24 08:17:15.461918,PT Emas Sejahtera,Non-Aktif,253.7,67869.14
2166,Tambang C,Tembaga,617.89,4.71,2024-03-08 09:45:14.237888,PT Tambang Jaya,Reklamasi,187.4,71495.39
